Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Instant fuel economy (MPG), Fuel rate (gal/hr), Input voltage read by the scan tool (V), Engine Power (hp), Trip Distance (miles), Trip Fuel (gal), Trip Duration (min), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Accel X (ft/s²), Accel Y (ft/s²), Accel Z (ft/s²), Accel (Grav) X (ft/s²), Accel (Grav) Y (ft/s²), Accel (Grav) Z (ft/s²), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Intake air temperature (°F), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V), Distance traveled while MIL is activated (miles), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Torque (lb•ft), Altitude (ft), Bearing (deg), GPS Speed (MPH), Horz Accuracy (ft)
20.668,41.53147,-93.64805,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.9807813,1.092018,3.43794,3.150928,-21.14058,-28.3338,-6.107056,-14.85181,4.446716,-6.710985,-50.57541,22.17249,-27.70199,-21.12268,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.8834,182.5518,12.5004,20.02722
21.67,41.53142,-93.64805,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.4938047,-0.332072,0.2959312,3.751058,-19.65303,-25.34051,1.127335,0.9707641,-1.029236,-5.526917,-50.91323,22.06586,-27.65688,-22.02475,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.1548,178.8738,12.5004,24.89949
22.669,41.53136,-93.64805,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.12957,-1.304202,0.2033255,3.905756,-17.98622,-25.72996,-0.6445313,7.431747,3.498566,-2.984935,-54.41518,19.21877,-29.40092,-24.54968,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.1512,180,12.7601,20.61733
23.668,41.53131,-93.64806,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,4.164168,1.917517,-5.605814,-1.40014,-22.09186,-19.88434,30.66757,8.542313,26.51183,3.448386,-40.05865,7.312866,-44.94299,-19.29486,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.3043,180,13.02911,25.19429
24.668,41.53126,-93.64806,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,4.12339,0.8997799,-5.039479,-4.073714,-25.09791,-15.64316,-0.5835876,-21.08681,7.4449,10.99068,-32.42794,-3.995148,-51.82426,-16.37515,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,952.2899,174.1519,13.02911,24.56456
25.66,41.53121,-93.64799,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,2.698787,-4.449045,0.7305219,-4.195999,-20.91517,-20.39067,-15.40566,-27.80176,-14.78525,10.11851,-36.87259,-6.180786,-48.88748,-21.56516,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,953.6089,156.5363,13.02911,24.1457
26.664,41.53117,-93.64799,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.980585,2.318479,-5.550524,1.012167,-29.22171,-11.47319,9.57959,3.075561,-6.446381,6.64241,-18.23599,7.611481,-58.79844,-25.33716,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,953.7847,156.5363,11.0794,15.72467
27.67,41.53114,-93.64793,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.000482232,2.144394,-0.6306537,-0.2357303,-31.19988,-13.41305,-12.3996,17.62563,6.444229,4.258005,-18.59683,8.426514,-53.48845,-27.9986,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,953.9164,136.016,12.40204,22.16707
28.674,41.53109,-93.6479,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-5.943234,0.1321823,1.666438,7.536493,-29.85868,-14.41933,-16.32034,29.28767,-10.10847,-1.79217,-22.41802,17.23296,-41.76057,-36.35226,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,952.6484,130.3197,12.40204,28.05698
29.671,41.53107,-93.6478,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.6054555,-0.08025315,-0.5942472,2.628393,-29.29685,-12.09149,-20.80695,7.69371,6.966507,-3.349988,-23.74905,16.17859,-40.35096,-38.3205,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,952.0659,97.73659,12.40204,29.81547
30.667,41.53107,-93.64772,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.8936397,-0.6561963,2.073633,0.09871206,-28.3888,-16.05176,3.592621,3.88266,-5.160858,-0.5438625,-28.453,12.6284,-34.5794,-41.83459,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.8441,89.41763,12.76736,14.65316
31.666,41.53107,-93.64761,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.517891,-0.09185464,0.7870267,0.1925131,-28.84749,-15.31658,6.909561,-0.2872925,-0.1165924,-1.188321,-26.90629,14.47307,-32.06294,-44.25958,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.6425,89.14822,16.02129,14.50364
32.666,41.53107,-93.64752,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,1.920325,0.3557091,-0.3558546,-1.090744,-28.97518,-14.38348,-2.611252,1.249008,4.259705,-1.735061,-26.91365,16.34415,-30.98801,-45.7558,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,949.3582,89.14822,17.4698,15.71779
33.671,41.53107,-93.64742,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.5779724,1.084399,-0.6681345,1.228253,-29.38623,-14.58139,-1.277206,-2.695313,2.838638,-1.568348,-27.41868,17.92685,-30.89353,-46.24805,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,949.2336,89.26343,18.25783,15.7093
34.666,41.53107,-93.64731,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.2132991,0.5383361,2.179458,-0.0618792,-28.96241,-17.63115,-2.74765,5.615463,-4.075485,-0.5994279,-27.88506,16.8539,-30.79718,-45.32092,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,948.9778,89.26343,19.27426,15.71438
35.669,41.53107,-93.64719,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.2032512,0.9124308,0.5802623,0.2548833,-29.08126,-16.287,-6.441376,2.469208,2.825058,-0.5091819,-28.48925,17.29138,-30.76222,-45.63684,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,948.2868,89.14182,19.56147,15.69081
36.668,41.53108,-93.64709,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.7014084,-0.1145644,0.2109878,-0.4758805,-28.03471,-15.82241,1.34346,5.054535,-2.424484,-1.247464,-27.94982,18.36935,-33.84596,-45.83115,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,947.6382,89.14182,19.71368,15.71152
37.669,41.53108,-93.64698,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.7570053,0.1091207,0.2684394,1.481172,-28.47818,-15.3814,-2.024307,0.9686736,3.318146,-1.382243,-27.60228,19.31609,-34.23768,-46.32437,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,946.6516,87.93765,19.15203,15.71086
38.671,41.53108,-93.64687,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.8734478,0.05322205,-1.984457,1.809721,-28.75075,-12.75497,7.237381,3.147751,-3.927689,-2.768218,-26.4662,20.7077,-36.50367,-45.70349,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,945.8129,86.27097,19.10902,15.70654
39.665,41.53109,-93.64676,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.6042827,-0.1113656,-2.507603,1.771906,-28.77776,-11.64164,7.414215,0.5159912,-4.123459,-2.809545,-24.93118,21.59138,-40.10363,-44.71948,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,945.4852,87.2579,19.24554,15.69831
40.671,41.53109,-93.64665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.7252129,-2.628018,2.069154,1.256246,-26.45483,-15.75268,-28.44545,10.49417,-57.14146,-6.228494,-25.99631,24.38951,-37.80551,-44.54321,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,944.9054,87.25124,19.53842,15.69229
41.672,41.53109,-93.64655,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.825281,0.7122006,-0.1427756,6.063179,-28.90397,-14.30195,-8.212723,-1.492966,1.938202,-9.016244,-26.97629,26.3167,-34.86483,-43.8494,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.7587,89.33638,19.56542,15.70868
42.67,41.5311,-93.64643,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-3.977784,0.6255208,-2.240848,9.558863,-28.60685,-12.21672,-10.18782,-4.721893,-0.1026001,-11.39174,-25.44257,30.9706,-32.70654,-47.65829,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.8704,90,20.55613,15.73033
43.667,41.5311,-93.64633,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.6516043,0.8952497,-2.399211,7.413226,-28.85044,-11.69124,-3.512466,6.822433,9.592163,-10.09281,-24.42712,29.35063,-35.10158,-48.77863,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.529,84.91653,19.91466,15.72367
44.671,41.53111,-93.64622,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.63944,-2.68279,-3.126587,8.656212,-25.35819,-11.38725,22.90213,10.9361,7.133224,-8.943399,-24.56313,26.91439,-35.12128,-48.88495,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.4881,83.54122,20.06466,15.73432
45.671,41.53113,-93.64612,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.9881833,-1.919188,4.003338,7.133296,-25.9981,-18.44147,-16.96465,3.062347,-0.5409851,-5.356458,-30.73552,19.32875,-30.25729,-47.01587,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.5694,71.62964,20.00541,15.72122
46.674,41.53116,-93.64602,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,1.338665,-2.186599,4.206947,1.816596,-23.06964,-23.71447,1.464706,2.794083,4.086319,-4.028872,-43.07802,8.579788,-18.53341,-39.55084,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.0728,66.41596,19.49099,15.71132
47.667,41.5312,-93.64593,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.5488324,-1.788283,0.1284858,2.098982,-21.96712,-21.72549,8.167435,5.864151,-1.537415,-4.205072,-42.91191,8.985886,-19.13636,-38.53564,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,942.6343,63.21705,19.43419,15.78413
48.671,41.53123,-93.64584,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-2.459082,0.782284,-1.158002,4.666968,-24.65591,-20.22271,-2.519302,-3.116425,-1.934006,-7.150162,-40.57132,11.30139,-18.95625,-37.98581,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.1974,63.21705,18.92655,15.90547
49.666,41.53126,-93.64576,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.9001313,1.33957,0.5928813,3.24522,-25.46525,-22.17485,-0.06211853,-4.26535,2.117157,-8.560041,-39.52678,10.87526,-19.12775,-35.13803,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.6154,65.4258,17.08228,15.96283
50.668,41.53128,-93.64568,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,1.555333,-0.6302243,0.01853708,0.3756951,-23.52686,-21.86005,3.065506,-2.42009,-1.281647,-2.77512,-40.69361,7.016434,-20.72272,-34.50385,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.1979,69.5149,17.03866,16.11577
51.666,41.5313,-93.6456,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,3.074595,-1.388067,-0.3176971,-2.191309,-22.32317,-21.98578,3.072281,1.267654,-0.332489,-1.153188,-42.12106,5.976563,-20.9682,-33.39948,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.3785,74.67867,16.28684,16.13453
52.665,41.53131,-93.64553,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,1.296208,-0.6431108,-0.09532099,-0.7558102,-22.48916,-22.69199,3.425354,0.02902222,0.3364716,-0.329043,-43.18903,6.111465,-21.86992,-33.71402,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.0569,74.67867,13.93642,16.13662
53.668,41.53131,-93.64546,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.06084545,0.790002,0.3396651,0.544144,-23.67125,-23.32797,5.489777,-6.85968,-1.554199,0.2995755,-43.89408,6.041992,-22.58018,-33.14456,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.5213,79.25529,12.97363,16.11268
54.665,41.53131,-93.64541,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.3197535,-0.2598117,0.320847,0.2455524,-22.96308,-22.85258,-4.652725,-1.989395,-0.1944427,0.9656589,-44.83549,4.624283,-22.52422,-32.7811,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.2864,83.44337,10.7335,16.16188
55.665,41.53132,-93.64539,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.7471945,-0.1765532,0.409526,1.301919,-22.28633,-23.59414,1.264877,3.158508,-0.748764,-0.9287352,-49.85423,5.787231,-19.80583,-34.60312,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,943.9177,83.44337,7.791662,16.19026
