publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
US-2024166230-A1,US,A1,91081212,US-202217992364-A,20240523,20221122,Systems and methods for active road surface maintenance with cloud-based mobility digital twin,"An active road surface maintenance system and method developed for connected vehicles with the aid of a mobility digital twin (MDT) framework. A method performed in a cloud-based digital space includes receiving data regarding a physical object from a physical space connected to a vehicle. The method also includes processing the data using machine learning to model road surface conditions, in which respective penalty values are assigned to corresponding road surfaces, a respective penalty value being higher the lower a condition of the corresponding road surface. The method also includes deriving instructions based on the modeled road surface conditions and the respective penalty values to guide actuation of the vehicle along a trajectory. The method further includes transmitting the instructions to the physical space connected to the vehicle to guide actuation of the vehicle.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,WANG ZIRAN | GUPTA ROHIT | HAN KYUNGTAE,B60K35/00 | B60K35/85 | B60K35/28 | B60K35/22 | B60W2552/05 | B60K2360/592 | B60K2360/166 | B60K35/85 | B60K35/28 | B60K35/22 | E01C23/01 | E01C23/01 | B60W60/001 | B60W60/001 | B60K35/00 | B62D15/029 | E01C23/01 | B60K2370/152 | B60K2370/166 | B60W2552/05 | B60W2554/20 | B60W2554/402 | B60W2554/4029 | B60W2554/4049 | B60W2554/408 | B60W2555/20 | B60W2556/10 | B60W60/001 | B62D15/029 | B60W2554/4029 | B60W2554/402 | B60W2552/05 | B60W2554/408 | B60W2554/4049 | B60W2555/20 | B60W2556/10 | B60W2554/20 | B60K2360/166 | B62D15/029,B60W60/00 | B60K35/00 | B62D15/02 | E01C23/01,toyota,2,道路面維持のデジタルツイン(重複)
US-2024101153-A1,US,A1,90360831,US-202217945253-A,20240328,20220915,Systems and methods for online monitoring using a neural model by an automated vehicle,"System, methods, and other embodiments described herein relate to estimating reachable states for a vehicle using a neural model. In one embodiment, a method includes generating an unverified command by a first controller and a safety command by a second controller for a projected path by an automated driving system (ADS) associated with a vehicle. The method also includes estimating reachable states by a neural network (NN) model that uses the unverified command and an initial condition for the vehicle, the reachable states representing positions and orientations for the vehicle within a bounded time and a state space associated with the initial condition and the projected path. The method also includes, upon determining that the reachable states satisfy collision criteria, executing by the vehicle a maneuver with the safety command for the projected path and generating subsequent commands using vehicle data from the first controller and the second controller.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD | UNIV NEWCASTLE,HOXHA BARDH | YAMAGUCHI TOMOYA | HEKAL ABDELRAHMAN | BOGOMOLOV SERGIY,B60W30/0953 | B60W60/0015 | B60W50/0097 | B60W50/0098 | G06N3/08 | B60W30/18163 | B60W2552/05 | B60W2554/802 | B60W60/0015 | G06N3/08 | B60W50/0098 | B60W50/0097 | B60W2510/20 | B60W2554/802 | B60W30/18163 | B60W2520/10 | B60W2552/05 | G06N3/045 | G06N3/08 | B60W60/0015 | B60W30/09 | B60W30/0953 | B60W30/18159 | B60W2050/0006 | B60W30/18163 | B60W30/16,B60W60/00 | B60W50/00 | G06N3/08,toyota,3,到達可能状態推定オンライン監視(別公開版)
US-2024010205-A1,US,A1,89431786,US-202217859701-A,20240111,20220707,"Systems, methods, and vehicles for correcting driving behavior of a driver of a vehicle","Systems, methods, and vehicles for correcting driving behavior of a driver of a vehicle are provided. The systems include a controller programmed to identify a repetitive movement pattern of a driver of a vehicle at a predetermined location based on accumulated driving data of the vehicle, implement digital twin simulation of the vehicle using the repetitive movement pattern and the digital twin simulation of another object to identify a potential conflict between the vehicle and the another object, and inform the driver of the vehicle about predetermined driving behavior in response to identifying the potential conflict.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,UCAR SEYHAN | HIGUCHI TAKAMASA | AVEDISOV SERGEI | ALTINTAS ONUR,B60W40/09 | G05B17/02 | B60W50/14 | B60W40/04 | B60W2540/20 | B60W2050/146 | B60W2540/30 | B60W40/09 | G05B17/02 | B60W50/14 | B60W2540/30 | B60W2540/20 | B60W2050/146 | B60W40/04 | G05B17/02 | B60W50/14 | B60W40/09 | B60W2050/146,B60W40/09 | B60W40/04 | B60W50/14 | G05B17/02,toyota,3,運転行動の繰り返しパターンをデジタルツインシミュレーションで再現し潜在的な衝突を検出。クリティカルシナリオ検知に近い
JP-2023134221-A,JP,A,87932009,JP-2022039617-A,20230927,20220314,"Method for managing logistics area, system for managing logistics area, and program","To provide a method for managing a logistics area, a system for managing a logistics area, and a program which use a simulation to manage a logistics area having a work line formed of a plurality of work subjects and can easily point out where a work subject which is not working as simulated is in a work space and how the work subject deviates from the simulation.SOLUTION: In a management system 100, a display device 130 simulates, using a digital twin simulator 110, a work space for a plurality of work subjects to work and monitors the actual motions of each work body in the work space. After that, the display device displays each of the plurality of work subjects on a screen of a display terminal 150 (140) simulating the work space as a heat map of which a color is changed according to a degree of deviation between motions simulated using the digital twin simulator and the monitored actual motions.SELECTED DRAWING: Figure 2",TOYOTA MOTOR CORP,OTSUKI MASAHISA | KAGA TOMOYUKI | MATSUBAYASHI HIROYA | ICHIOKA YUKI | BAN TAKUMI | HASEGAWA HIDEO,G06T11/26 | G06Q10/08 | G06Q10/063114 | G06Q10/063114 | G06Q10/08 | B25J9/1664 | G05B19/41885 | G05B19/41865 | G05B19/4069 | G06Q10/083 | G06F30/20 | G06T11/40,G06Q10/0639,toyota,1,物流エリア管理のデジタルツインヒートマップ監視。無関係
CN-116757568-A,CN,A,87932009,CN-202310237663-A,20230915,20220314,"Logistics area management method and management system, and computer-readable recording medium","The present disclosure relates to a method and a system for managing a physical distribution area, and a computer-readable recording medium, which can easily grasp where a work body that does not operate in accordance with a simulation is in a work space and how far from the simulation the physical distribution area is managed by using the simulation in the physical distribution area having a work line composed of a plurality of work bodies. A working space in which a plurality of working bodies are worked is simulated using digital twinning, and actual movements of the respective working bodies of the plurality of working bodies in the working space are monitored. On the screen simulating the working space, each of the plurality of working subjects is displayed with a heat map whose color is changed according to the magnitude of the deviation between the motion simulated by using digital twinning and the monitored actual motion.",TOYOTA MOTOR CO LTD,OTSUKI MASAHISA | KAGA TOMOYUKI | MATSUBAYASHI HIROYA | ICHIOKA YUKI | BAN TAKUMI | HASEGAWA HIDEO,G06T11/26 | G06Q10/063114 | G06Q10/08 | B25J9/1664 | G06Q10/08 | G06Q10/063114 | G05B19/41885 | G05B19/41865 | G05B19/4069 | G06Q10/083 | G06F30/20 | G06T11/40,G06Q10/083 | G06F30/20 | G06T11/20 | G06T11/40,toyota,1,同上(重複)
US-2023289677-A1,US,A1,87932009,US-202318181756-A,20230914,20220314,"Logistics area management method, logistics area management system, and non-transitory computer-readable storage medium","The method of the present disclosure is a management method for a logistics area with a work line constituted of a plurality of work subjects. The method comprises: simulating, using a digital twin, a work space in which the plurality of work subjects work; monitoring an actual movement of each of the plurality of work subjects in the work space; and displaying each of the plurality of work subjects on a screen simulating the work space as a heat map of which a color is changed in accordance with a degree of deviation between a movement simulated using the digital twin and a monitored actual movement.",TOYOTA MOTOR CO LTD,OTSUKI NOBUHISA | KAGA TOMOYUKI | MATSUBAYASHI HIROYA | ICHIOKA YUKI | BAN TAKUMI | HASEGAWA HIDEO,G06T11/26 | G06Q10/063114 | G06Q10/08 | B25J9/1664 | G06Q10/08 | G06Q10/063114 | G05B19/41885 | G05B19/41865 | G05B19/4069 | G06Q10/083 | G06F30/20 | G06T11/40 | G06Q10/063114 | B25J9/1664 | G06Q10/08,G06Q10/0631 | B25J9/16 | G06Q10/08,toyota,1,同上(重複)
US-11727168-B2,US,B2,67550627,US-201815908768-A,20230815,20180228,Proactive vehicle maintenance scheduling based on digital twin simulations,The disclosure includes embodiments for proactive vehicle maintenance scheduling based on one or more digital twin simulations. A method includes generating a digital twin of a vehicle. The method includes receiving digital data recorded by a sensor and describing the vehicle as it exists in a real-world and one or more historical journeys of the vehicle in the real-world. The method includes updating the digital twin of the vehicle based on the digital data describing the vehicle so that the digital twin is consistent with a condition of the vehicle as it exists in the real-world. The method includes executing a simulation based on the digital twin and the one or more historical journeys. The method includes estimating a component of the vehicle that fails at a future time based on the simulation. The method includes scheduling a reservation to repair the component before the future time.,TOYOTA MOTOR CO LTD,MASUDA TAKATO | KIM BAEKGYU | SHIRAISHI SHINICHI,G06Q50/40 | G06F30/20 | G07C5/085 | G07C5/008 | G06F30/20 | G07C5/085 | G06Q10/20 | G06F30/20 | G06F30/15 | G07C5/085,G06F30/20 | G07C5/08,toyota,2,デジタルツインシミュレーションに基づく予知保全スケジューリング。故障予測だが訓練データ生成ではない
US-11468215-B2,US,B2,68840063,US-201816007693-A,20221011,20180613,Digital twin for vehicle risk evaluation,"The disclosure includes embodiments for providing a vehicle risk evaluation and a modification for an onboard system of a vehicle to improve the operation of the onboard system. In some embodiments, a method includes generating a digital twin of a vehicle. The method includes receiving digital data recorded by a sensor and describing a condition of the vehicle as it exists in a real-world and a behavior of the vehicle as operated in the real-world. The method includes updating the digital twin of the vehicle based on the digital data so that the digital twin is consistent with the condition and the behavior.",TOYOTA MOTOR CO LTD,SHIRAISHI SHINICHI | JIANG ZHIHAO | KIM BAEKGYU,G06F30/15 | G06Q40/08 | G06Q40/08 | G06F30/20 | G06F30/20 | G06Q40/08 | G06F30/20,G06Q40/08 | G06F30/20,toyota,2,デジタルツインによる車両リスク評価。安全評価だがレアイベント生成ではない
JP-2020013557-A,JP,A,68840063,JP-2019109363-A,20200123,20180613,Digital twin for evaluating vehicle risk,"To evaluate a risk associated with traveling a vehicle.SOLUTION: A method comprises: a step for generating a digital twin of a vehicle; a step for receiving digital data recorded by a sensor and describing a state of the vehicle as it exists in a real world and a behavior of the vehicle traveling in the real world; and a step for updating the digital twin of the vehicle based on the digital data, such that the digital twin matches the state and the behavior.SELECTED DRAWING: Figure 1A",TOYOTA MOTOR CORP,SHIRAISHI SHINICHI | JIANG ZHIHAO | KIM BAEKGYU,G06F30/20 | G06F30/15 | G06Q40/08 | G06F30/20 | G06Q40/08,G06Q40/08 | G08G1/00,toyota,2,同上(JP版の重複)
US-2019384870-A1,US,A1,68840063,US-201816007693-A,20191219,20180613,Digital twin for vehicle risk evaluation,"The disclosure includes embodiments for providing a vehicle risk evaluation and a modification for an onboard system of a vehicle to improve the operation of the onboard system. In some embodiments, a method includes generating a digital twin of a vehicle. The method includes receiving digital data recorded by a sensor and describing a condition of the vehicle as it exists in a real-world and a behavior of the vehicle as operated in the real-world. The method includes updating the digital twin of the vehicle based on the digital data so that the digital twin is consistent with the condition and the behavior.",TOYOTA MOTOR CO LTD,SHIRAISHI SHINICHI | JIANG ZHIHAO | KIM BAEKGYU,G06F30/20 | G06F30/15 | G06Q40/08 | G06F30/20 | G06Q40/08 | G06F17/5009 | G06Q40/08,G06F17/50 | G06Q40/08,toyota,2,同上(US版の重複)
JP-2019153291-A,JP,A,67550627,JP-2019027503-A,20190912,20180228,Prediction of failures of vehicle based on digital twin simulation,"To predict generation of failures in a vehicle precisely.SOLUTION: The present invention includes: a generation step of generating first digital data showing the state of a vehicle, the data being used for simulating the state of the vehicle; an acquisition step of acquiring second digital data including on-vehicle data recorded by the vehicle; an update step of updating the first digital data on the basis of the second digital data; a simulation step of executing a simulation based on the first digital data; and a prediction step of predicting a failure of a component of the vehicle at a timing in the future according to the result of the simulation.SELECTED DRAWING: Figure 1B",TOYOTA MOTOR CORP,Masuda yukihito | KIM BAEKGYU | SHIRAISHI SHINICHI,G06F30/20 | G06F30/15 | G06F30/20 | G06Q10/20 | G07C5/085 | G07C5/008 | G07C5/085 | G06Q50/40,G06Q10/00 | G06Q50/10 | B60S5/00,toyota,2,デジタルツインシミュレーションに基づく故障予測。予知保全系統
US-2019266295-A1,US,A1,67550627,US-201815908768-A,20190829,20180228,Proactive vehicle maintenance scheduling based on digital twin simulations,The disclosure includes embodiments for proactive vehicle maintenance scheduling based on one or more digital twin simulations. A method includes generating a digital twin of a vehicle. The method includes receiving digital data recorded by a sensor and describing the vehicle as it exists in a real-world and one or more historical journeys of the vehicle in the real-world. The method includes updating the digital twin of the vehicle based on the digital data describing the vehicle so that the digital twin is consistent with a condition of the vehicle as it exists in the real-world. The method includes executing a simulation based on the digital twin and the one or more historical journeys. The method includes estimating a component of the vehicle that fails at a future time based on the simulation. The method includes scheduling a reservation to repair the component before the future time.,TOYOTA MOTOR CO LTD,MASUDA TAKATO | KIM BAEKGYU | SHIRAISHI SHINICHI,G06F30/15 | G06F30/20 | G06F30/20 | G06Q10/20 | G07C5/008 | G07C5/085 | G07C5/085 | G07C5/085 | G06F17/5009 | G06Q50/40,G07C5/08 | G06F17/50,toyota,2,予知保全スケジューリング(別公開版)
