publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
US-2026098614-A1,US,A1,90476493,US-202219115074-A,20260409,20220930,Method for pipeline corrosion prediction and maintenance,"A computer-implemented method for predicting corrosion of a pipeline comprises the steps of: generating, using a physical simulation model, a physical flow profile of the pipeline based on at least a part of an inspection profile of the pipeline; predicting, using a machine learning model, a future corrosion profile of the pipeline including at least one future corrosion feature based on at least a part of the inspection profile of the pipeline and the physical flow profile of the pipeline; wherein the inspection profile includes operating data of the pipeline comprising inspection data from at least one physical inspection of the pipeline. In addition, a corresponding training method, model, computer program as well as data processing devices are disclosed.",MATRIX JVCO LTD TRADING AS AIQ,ZAIDANI MOUNA | HABIBI ZAYNAB | ASIF UMAR | AMRI MOHAMED | BELMESKINE RACHID,G06F30/27 | G06F2113/08 | G06F30/23 | G06F30/28 | G06F2113/14 | G06F2119/04 | F16L2101/30 | F17D5/02 | F17D5/00 | G06F30/27 | G06F30/27 | F17D5/00,G06F30/27 | F17D5/00,general,1,配管腐食予測の物理シミュレーション+ML。予測目的でレアイベント生成ではない
US-2026099653-A1,US,A1,99314050,US-202519354769-A,20260409,20241009,Autonomous simulated testing and benchmarking framework for agentic AI systems,"A computer-implemented method and system are disclosed for simulation-based testing and benchmarking of an agentic artificial intelligence (AI) system. The method comprises binding a simulation agent to one or more tool-access interfaces of the agentic AI system to replace external tools, intercepting requests emitted through the interfaces, and generating protocol-compliant responses using synthetic data and a simulated environment. The simulation agent executes healthy and fault-inserted task runs within the synthetic environment and generates a performance vector comprising task-completion rate, accuracy, efficiency, resilience, and fault-recovery metrics. The system is configured for maintaining a simulation registry, orchestrating resource allocation using reinforcement-learning policies, and applying an autonomous feedback pipeline for continuous refinement. In some embodiments, the simulation agent operates in a stealth observation mode to train surrogate tool models, enabling privacy-compliant, closed-loop simulation.",AIXPLAIN INC,YUKSEL KAMER ALI | SAWAF HASSAN,G06F30/13 | G06F30/27 | G06F30/13 | G06F30/27,G06F30/13 | G06F30/27,general,3,エージェント型AIのシミュレーションテスト基盤(同上[3]の重複、アサイニー違い)
US-2026099656-A1,US,A1,94464802,US-202519322667-A,20260409,20241021,Pikan-based seepage simulation method for heterogeneous reservoirs,"The present disclosure provides a PIKAN-based heterogeneous reservoir seepage simulation method, which belongs to the field of heterogeneous reservoir development technology, including the following steps: S 1 , using three independent KAN networks to approximate the PIKAN of pressure p, velocity component v x  and velocity component v y  respectively; S 2 , constructing a loss function of the mixed pressure-velocity formula including the residual of the mass conservation formula, the residual of Darcy&#39;s law and the residual of the relevant boundary conditions, and optimizing the loss function. The present disclosure adopts the above-mentioned PIKAN-based heterogeneous reservoir seepage simulation method, introduces KAN into the flow simulation of porous media for the first time, and provides a preliminary reference for the development of general seepage simulation tools based on PIKAN.",YANGTZE UNIV | WESTERN RESEARCH INSTITUTE OF YANGTZE UNIV,ZHOU YUHUI | RAO XIANG | ZHAO HUI | SHENG GUANGLONG | ZONG RUIQI | MENG FANKUN | LI ZONGFA | Geng Shaoyang | XU YUNFENG | LIU WEI | ZHAN WENTAO | YAN LIANG | LUO PENGHUA | PEI YUCHEN,G06F30/27 | Y02A10/40 | G06F2119/14 | G06F2113/08 | G06N3/08 | G06N3/0499 | G06F30/28 | G06F30/28 | G06F30/27 | G06F30/27 | G06F30/28,G06F30/27 | G06F30/28,general,1,貯留層浸透シミュレーション手法(PIKAN)。境界条件はあるが手法論文でレアイベント生成ではない
US-2026099762-A1,US,A1,99313424,US-202418908816-A,20260409,20241008,Generation of new artificial intelilgence modles for edge case driving scenarios,"A method of generating artificial intelligence (AI) models for driving related scenarios, the method includes (a) generating, by using driving related data, a database of driving scenarios, the generating involves clustering the driving related data in accordance with the driving scenarios; and holding, in the database, the clustered data in association with corresponding driving scenarios; (b) creating, by using the clustered data, a dictionary of concept signatures; and (c) training, by using the database of driving scenarios, a set of AI models, the training of each AI model is based on the clustered data stored in the database in accordance with a specified driving scenario, to provide a decision making with respect to the specified driving scenario.",AUTOBRAINS TECH LTD,RAICHELGAUZ IGAL,B60W60/001 | H04W4/38 | G06F16/285 | G06N20/00 | G06F16/285 | G06N20/00,G06F16/28 | G06N20/00,general,5,AutoBrains: エッジケース走行シナリオ向けの新しいAIモデル生成。走行データをクラスタリングしエッジケースDBを構築しモデルを訓練。目的に極めて合致
WO-2026035929-A9,WO,A9,98735967,US-2025041073-W,20260409,20240807,Method for co-designing modeling and monitoring systems,"A method for improving a system model includes selecting a continuous-time model that includes numerically constant model parameters and time-varying variables; selecting an objective function; selecting from the model parameters a set of model parameters whose numerically constant values are to be estimated; selecting a data acquisition system to supply data for model operation and for estimation of the numerically constant values of the set of model parameters. The data acquisition system includes sensors operable to collect data associated with at least one model parameter of the set. The method further includes assigning temporary values as the numerically constant values of the set of model parameters; generating, via a processor, synthetic data from the model using the temporary values; determining, via the processor, an unidentifiable model parameter of the set presenting an identifiability issue; and displaying, via a user interface in communication with the processor, the unidentifiable model parameter.",KANSAS STATE UNIV RESEARCH FOUNDATION | THE BOARD OF REGENTS FOR THE OKLAHOMA AGRICULTURAL AND MECH COLLEGES,WELCH STEPHEN M | POUDEL PRATISHTHA | ALDERMAN PHILLIP,A01H1/02 | G06N5/01 | G06N3/126 | G16B20/00 | G16B5/00 | G06N7/00 | G06F30/20 | G05B17/02 | A01H1/04 | G06N20/00,G16B20/00 | G06N7/00 | G06F30/20 | G05B17/02 | A01H1/04 | G16B5/00,general,2,モデルパラメータ同定可能性のため合成データを生成。識別性解析目的でレアイベント生成ではない
US-12596864-B1,US,B1,50391906,US-202418955827-A,20260407,20060531,Determining IR drops for circuit networks using Barycenter model,"Any primitive cells or blocks can be represented physically by a Barycenter compact model (or Barycenter model), and any black box model can also be physically represented by a Barycenter compact model physically. A boundary condition between blocks is formulated by the Barycenter compact model. Boundary condition problems between blocks can be limited within two levels only if using the Barycenter compact model.",WORLDWIDE PRO LTD,HO WILLIAM WAI YAN,G06F2119/10 | G06F30/398 | G06F30/367 | G06F30/327 | G06F30/20 | G06F2119/10 | G06F30/398 | G06F30/392 | G06F30/367 | G06F2119/10 | G06F30/398 | G06F30/367 | G06F30/327 | G06F30/20 | G06F30/392,G06F119/10 | G06F30/398 | G06F30/392 | G06F30/367 | G06F30/327 | G06F30/20,general,1,回路網IRドロップのBarycenterモデル。境界条件はあるが回路設計手法
CN-116090148-B,CN,B,86210671,CN-202111304898-A,20260407,20211105,Composite analysis method for evolution of microwave load radiation characteristics of domestic satellite,"The invention discloses a composite analysis method for the evolution of the microwave load radiation characteristics of a domestic satellite, which comprises the steps of re-analyzing domestic satellite microwave load historical data by referring to a radiation reference, diagnosing and classifying deviation steady-state events, adopting a load semi-physical simulation technology to explore a radiation deviation mechanism by combining physical tests of a loader/component level with simulation analysis of a loading system level, further updating a domestic satellite microwave load radiometric calibration system model, reconstructing domestic satellite microwave load radiometric calibration system parameters by changing iteration between a satellite load observation radiation field and a reference radiation field, re-calibrating the domestic satellite microwave load historical data based on the updated domestic satellite microwave load radiometric calibration system model and parameters, extracting time-varying information according to the radiation reference, and establishing a microwave load system radiation drift correction model.",,,G06F30/20,G06F18/24 | G06F30/20,general,1,衛星マイクロ波負荷放射特性の半物理シミュレーション校正。監視/校正目的
US-12596855-B2,US,B2,80470682,US-202117228260-A,20260407,20200907,System and method for accelerating physical simulation models during microelectronic device fabrication,"A method for accelerating physical simulation models during microelectronic device fabrication may include, but is not limited to, running a physical simulation model at a first grid size having a first resolution, generating outputs at the first grid size having the first resolution from the physical simulation model, inputting the outputs at the first grid size having the first resolution from the physical simulation model into a resolution enhancement model (REM), and generating outputs at a second grid size having a second resolution via the REM to reduce at least one of a computational time cost or a computational resource cost of a controller running the physical simulation model. The physical simulation model may simulate an on-wafer performance of at least one microelectronics fabrication process. The second grid size may be smaller than the first grid size. The second resolution may be higher than the first resolution.",KLA CORP,ZHANG YITING | AGARWAL ANKUR A,G06F2111/08 | H10P74/23 | Y02P90/02 | G06F2111/08 | G06F2119/18 | H10P74/23 | G03F7/705 | Y02P90/02 | G06F2119/18 | G06F30/27 | G06F30/27 | G06F30/27 | G06F2111/08 | G06F30/27,G06F111/08 | G06F30/27,general,1,半導体製造の物理シミュレーション高速化(解像度向上モデル)。加速化目的でレアイベント生成ではない
CN-116090070-B,CN,B,86202481,CN-202310129116-A,20260407,20230208,"Method, apparatus, electronic device, and storage medium for outputting information","The disclosure relates to a method, a device, electronic equipment and a storage medium for outputting information, and relates to the technical field of structural engineering. The method comprises the steps of obtaining relevant parameters of a rectangular plate, wherein the relevant parameters comprise size parameters, elastic mechanical parameters and load calculation parameters, determining initial sedimentation of each corner point of the rectangular plate, determining a first coefficient and a second coefficient corresponding to each side according to boundary conditions of each side of the rectangular plate and a preset equation set corresponding to each side, determining structural parameters of the rectangular plate according to the relevant parameters, the initial sedimentation and the first coefficient and the second coefficient corresponding to each side, and outputting the structural parameters. By the method and the device, the structural parameters of the rectangular plate under any supporting condition can be calculated, and the accuracy of calculating the structural parameters is improved.",,,G06F2119/14 | G06F30/20 | G06F30/13,G06F119/14 | G06F30/20 | G06F30/13,general,1,矩形板構造パラメータ算出。境界条件を用いた構造計算手法
CN-116224836-B,CN,B,86573378,CN-202310406424-A,20260407,20230417,Multi-umbrella-wing unmanned aerial vehicle semi-physical simulation system,"The invention discloses a multi-parachute unmanned aerial vehicle semi-physical simulation system which comprises an upper computer and a plurality of parachute unmanned aerial vehicle controllers, wherein the upper computer is connected with each parachute unmanned aerial vehicle controller, the upper computer comprises a flight path planning module, an unmanned aerial vehicle state acquisition module and a first communication module, the flight path planning module is used for carrying out flight path planning on a formation formed by the multi-parachute unmanned aerial vehicles and outputting expected flight paths of each parachute unmanned aerial vehicle, the unmanned aerial vehicle state acquisition module is used for calculating an updating value of an unmanned aerial vehicle state according to a control quantity output by the parachute unmanned aerial vehicle controllers and an unmanned aerial vehicle dynamic model, the first communication module is used for sending the expected flight paths and the updating value of the unmanned aerial vehicle state to the corresponding parachute unmanned aerial vehicle controllers, and the parachute unmanned aerial vehicle controllers are used for calculating the control quantity according to the expected flight paths and the unmanned aerial vehicle state. By utilizing the system, the multi-parachute unmanned aerial vehicle collaborative air drop system can be calibrated, and the functions and performances of all equipment of the system can be more directly and effectively checked.",,,Y02T90/00 | G05B17/02,G05B17/02,general,2,マルチパラシュートUAVの半物理シミュレーションシステム。試験検証基盤でレアイベント生成ではない
CN-116187211-B,CN,B,86442835,CN-202111430588-A,20260407,20211129,Digital twin body construction method for wound tube type heat exchanger based on computational fluid dynamics,"The invention belongs to the field of digital twinning, in particular to a method for constructing a digital twinning body of a winding tube type heat exchanger based on computational fluid dynamics, which comprises the following steps of collecting physical parameters of the winding tube type heat exchanger and establishing a tube unit scale characteristic unit model according to the physical parameters; the method comprises the steps of obtaining scale feature quantity data of a pipe unit scale feature unit model, forming a feature unit database, establishing a coarse-grained three-dimensional digital twin body model, setting initial conditions and boundary conditions, training the feature unit database to obtain a momentum source item and an energy source item training model of an output feature unit database, and obtaining flow field variable values of flow and heat transfer flow field and temperature field distribution by simulating the coarse-grained three-dimensional digital twin body model.",,,G06F2119/08 | G06F30/23 | G06F30/27 | G06F30/28,G06F119/14 | G06F119/08 | G06F113/08 | G06F30/27 | G06F30/23 | G06F30/28,general,1,CFDベースの熱交換器デジタルツイン構築。設計/監視目的
CN-120633294-B,CN,B,96954651,CN-202510699836-A,20260407,20250528,Excavator structure topology optimization method and system based on real-time stress field reconstruction,"The invention relates to the technical field of engineering machinery structure optimization, in particular to an excavator structure topology optimization method based on real-time stress field reconstruction and a system thereof, which are characterized in that deformation and stress data of key parts of an excavator movable arm are obtained through a distributed fiber bragg grating sensor array, virtual data are obtained through modeling and simulation in finite element analysis software, a Kalman filter is designed to correct errors of the virtual data and actual test data, and training a Kalman filter by using the corrected data to obtain prediction of real-time stress field distribution, further establishing a topological optimization model of the excavator structure, coding material properties into a weight matrix in a neural network, taking a stress constraint partial differential equation as a constraint condition, realizing high-precision reconstruction of the stress field of the excavator movable arm under the actual working condition, and providing accurate boundary conditions for topological optimization.",,,G06F2111/04 | G06F2119/14 | G06F30/15 | G06F30/27 | G06F30/23,G06F119/14 | G06F111/04 | G06F30/27 | G06F30/15 | G06F30/23,general,2,掘削機構造トポロジー最適化。FEMで仮想データ生成するが構造最適化目的
CN-116243620-B,CN,B,86628716,CN-202211689577-A,20260403,20221227,Semi-physical simulation test method for injection type inertial measurement unit,"The invention relates to a semi-physical simulation test method of an injection type inertial measurement unit, and belongs to the field of simulation tests. The method adopts a signal injection method to skip the gyroscope component and the accelerometer component of the inertial measurement device, and directly injects the angular acceleration signals in three directions of pitching, yawing and rolling of the carrier and the acceleration signals in three directions of x direction, y direction and z direction calculated by a simulation computer into the inertial measurement device through a simulation information interface to excite the inertial measurement device to carry out navigation calculation so as to obtain the attitude angle information and the position information of the carrier, thereby solving the problem that the traditional semi-physical simulation test method of the inertial measurement device is seriously dependent on a turntable side to carry out a test.",,,Y02T90/00 | G01C21/16 | G05B17/02,G01C21/16 | G05B17/02,general,1,慣性計測ユニットの半物理シミュレーション試験手法。試験基盤でレアイベント生成ではない
CN-121580543-B,CN,B,98841932,CN-202610098172-A,20260403,20260126,Self-adaptive positioning complex structural member surface laser shock reinforcement numerical simulation method,"The invention belongs to the field of metal processing, and particularly relates to a self-adaptive positioning complex structural member surface laser shock reinforcement numerical simulation method which comprises the following steps of (1) establishing a structural model of a part, (2) carrying out grid cloth planting on the structural model of the part, (3) self-defining parameters of VDLOAD subroutines to generate arrayed laser loading positions and shock pressures, (4) establishing a dynamic explicit analysis step and boundary conditions, and calculating by referring to VDLOAD subroutines to obtain a residual compression stress field formed after laser shock on the surface of the part. The method constructs a curved surface self-adaptive judging algorithm based on vertical mapping between a real-time normal vector of a free surface and transient pressure projection in VDLOAD subprograms, ensures that the transient pressure is always accurately aligned with the normal direction of a laser impact curved surface, simultaneously utilizes a full-parameterized space-time array to generate laser loading positions and impact pressures in batches, and realizes simulation of a continuous laser impact strengthening process of the surface of a part with any complex structure.",,,G06F2119/18 | G06F2119/14 | G06F2111/10 | G16C60/00 | G06F30/20 | G06F30/17,G16C60/00 | G06F119/18 | G06F119/14 | G06F111/10 | G06F30/20 | G06F30/17,general,1,レーザーショック強化の数値シミュレーション。境界条件はあるが製造プロセス手法
CN-115329439-B,CN,B,83927275,CN-202211038780-A,20260403,20220829,Island type multi-constraint discontinuous interface block region blanking refined arrangement method,"The invention relates to the technical field of building construction, and discloses a precise arrangement method for blanking of island-type multi-constraint discontinuous interface building block areas, which mainly comprises the steps of acquiring data of wall structures and components; the method comprises the steps of distinguishing parameterization and self-adaptation data of a structure, utilizing a computer to program, determining the positions of concrete blocks on a wall structure containing door and window openings and boundary conditions of building block areas, traversing and optimizing blanking combinations with minimum deviation values of the sizes and positions of filling building blocks at the door and window openings, determining blanking positions of the building block areas, loading the created model into a programming platform, and finishing fine arrangement work after automatic layout of components of the wall. The invention is based on a visual programming platform, and is used for programming by using a computer language, so as to realize the automatic arrangement of concrete blocks for walls with door and window openings and the standardized and refined arrangement in a building block area. The invention can improve the utilization rate of the masonry material and is beneficial to promoting the sustainable development of the building construction industry.",,,G06F30/20 | G06F30/13,G06F30/20 | G06F30/13,general,1,建築ブロック配置の境界条件計算。施工計画手法でレアイベント生成ではない
CN-120974956-B,CN,B,97641918,CN-202511505463-A,20260403,20251021,Closed-loop self-adaptive motor turn-to-turn short circuit dynamic evolution simulation system,"The invention discloses a closed-loop self-adaptive motor turn-to-turn short circuit dynamic evolution simulation system, which relates to the technical field of motor fault simulation and comprises a feature extraction module, a fault evolution modeling module, a multi-level parameter dynamic correction module and a simulation strategy optimization module, wherein the feature extraction module is used for calculating and generating a fault excitation index and a winding chaos entropy from acquired motor operation data, the fault evolution modeling module is used for solving a preset fault evolution model based on the fault excitation index and the winding chaos entropy to generate an updated fault resistance, the multi-level parameter dynamic correction module is used for correcting parameters of a simulation model according to the winding chaos entropy, and the simulation strategy optimization module is used for switching among a plurality of preset simulation modes according to the winding chaos entropy. According to the invention, a closed-loop self-adaptive system is constructed, a interdisciplinary theory is fused, dynamic simulation of the turn-to-turn short circuit full life cycle of the motor is realized, and high fidelity, physical interpretability and calculation efficiency are considered through a multi-level correction and self-adaptive strategy.",,,G06F18/213 | G06N7/08 | G06F30/27,G06N7/08 | G06F18/213 | G06F30/27,general,3,モータの巻線間短絡動的進展シミュレーション。物理ベースの故障シミュレーション(エネルギー分野)
WO-2026065350-A1,WO,A1,94159067,CN-2024122611-W,20260402,20240929,Calculation method for load transformation in local coordinate system,"The present invention relates to a calculation method for load transformation in a local coordinate system. The calculation method for load transformation in a local coordinate system is based on a part simulation model, and comprises the following steps: S1: determining hard point coordinates of a part; S2: establishing a local coordinate system; S3: establishing a local coordinate load calculation formula: F xLocal =a•F xGlobal +b•F yGlobal +c•F zGlobal ; S4: setting boundary conditions; S5: solving coefficients; and S6: performing load transformation in the local coordinate system. The present invention has the following beneficial effects: no part model is required during calculation, and the calculation can be performed solely on the basis of hard point positions, without relying on any specific simulation analysis software, the calculation is simple, the calculation amount is reduced, the calculation capability is strong, and the calculation efficiency is improved, large‑scale and batch mechanical analysis calculation of automobile parts can be performed, the application range is wide, and the practical value is high.",BENGANG STEEL PLATES CO LTD | BENXI STEEL PUXIANG COLD ROLLED SHEET CO LTD,SONG BO | SUN ZHUO | YU SHUAI | GUO JING | ZOU XITAO,Y02T90/00 | G06F2119/14 | G06F2111/04 | G06F30/15 | G06F30/20,G06F119/14 | G06F111/04 | G06F30/15 | G06F30/20,general,1,局所座標系での荷重変換計算。境界条件を用いた機械計算手法
